"","period","avg.val","measurement.type","discharge","on.time","all.params","meets.frequency","resamples","resample.report","num.params.month","num.riles.infrac","num.noriles.infrac","num.complaints","num.permits","plant.ID"
"1",201603,7.75,"AU","SI","SI","SI","SI","NO","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"2",201604,8.136,"AU","SI","SI","SI","SI","NO","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"3",201605,7.972,"AU","SI","SI","SI","SI","NO APLICA","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"4",201606,7.652,"AU","SI","SI","SI","SI","NO","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"5",201609,7.176,"AU","SI","NO","SI","SI","NO APLICA","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"6",201610,7.104,"AU","SI","SI","SI","SI","NO APLICA","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"7",201611,7.1552,"AU","SI","SI","SI","SI","NO APLICA","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"8",201612,7.2044,"AU","SI","SI","SI","SI","NO APLICA","Entrega parametros exigidos en remuestreo",18,0,0,0,1,146
"9",201701,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"10",201702,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"11",201703,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"12",201704,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"13",201705,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"14",201706,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"15",201707,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"16",201708,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"17",201709,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"18",201710,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"19",201711,7.95,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"20",201712,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"21",201801,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"22",201802,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"23",201803,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"24",201804,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"25",201805,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"26",201806,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"27",201807,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"28",201808,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"29",201809,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"30",201810,7.45,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"31",201811,8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"32",201812,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"33",201901,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"34",201902,7.66666666666667,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"35",201903,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"36",201904,7.95,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"37",201905,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"38",201906,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"39",201907,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"40",201908,7.95,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"41",201909,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"42",201910,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"43",201911,7.55,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"44",201912,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,165
"45",202001,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"46",202002,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"47",202003,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"48",202004,7.5,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"49",202005,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"50",202006,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,165
"51",201701,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"52",201702,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"53",201703,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"54",201704,7.6,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"55",201705,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"56",201706,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"57",201707,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"58",201708,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"59",201709,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"60",201710,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"61",201711,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"62",201712,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"63",201801,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"64",201802,7.55,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"65",201803,7.6,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"66",201804,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"67",201805,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"68",201806,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"69",201807,7.4,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"70",201808,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"71",201809,7.55,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"72",201810,7.65,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"73",201811,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"74",201812,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"75",201901,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"76",201902,7.73333333333333,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"77",201903,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"78",201904,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"79",201905,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"80",201906,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"81",201907,7.9,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"82",201908,7.8,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"83",201909,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"84",201910,7.85,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"85",201911,7.55,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"86",201912,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",5,0,1,0,18,158
"87",202001,7.6,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,158
"88",202002,7.3,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,158
"89",202003,7.7,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,158
"90",202004,7.6,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,158
"91",202005,7.75,"AC","SI","SI","SI","SI","NO APLICA","NO APLICA",NA,0,1,0,18,158
